0.175637145951533 Balance
0.203900164923916 St2_suppressed
0.231094702734615 H_suppressed
0.174526150309918 Balance
0.120613337139804 Balance
0.0961616000386849 Balance
0.215512820574554 Balance
0.307497939671146 Balance
0.32495895584398 St1_dominance
0.0988609980679944 Balance
0.30309516040229 H_suppressed
0.0369053171236883 H_suppressed
0.122456668197367 Balance
0.0134892599129826 Balance
0.348391113718476 H_suppressed
0.0807925468344698 Balance
0.0521337460576161 Balance
0.116814583691421 Balance
0.17044127866805 St2_suppressed
0.0650495555249996 Balance
0.0553422392210507 Balance
0.0879997785906305 Balance
0.172531115703806 Balance
0.155028919134463 St2_suppressed
0.104691068692606 Balance
0.133968450763603 St2_suppressed
0.0988318752326394 Balance
0.185743290815577 Balance
0.0604717347692291 Balance
0.10058005500595 Balance
0.0767403178518306 Balance
0.145652720053558 Balance
0.0767794348637707 Balance
0.238484023907112 H_suppressed
0.1661828215009 St1_dominance
0.102863974918336 Balance
0.208794414385563 St2_suppressed
0.314616639897031 St1_dominance
0.237407261106311 Balance
0.159645971843952 Balance
0.12753252033109 Balance
0.115387344722027 Balance
0.064567110311675 Balance
0.308365739870693 St1_suppressed
0.0276950094586083 H_dominance
0.169081054284624 Balance
0.172463203199987 Balance
0.0343424274913699 Balance
0.0915124989880618 H_suppressed
0.167378714485952 H_dominance
0.0160652384047047 Balance
0.114609469966491 Balance
0.0141507693150975 St1_dominance
0.0763809685851129 Balance
0.0973148528026426 Balance
0.0460649365352868 Balance
0.089052396228288 Balance
0.299632816497125 Balance
0.0204855458479875 St2_suppressed
0.348907304595361 St2_dominance
0.164806704815065 Balance
0.11838569142426 Balance
0.230091620579712 St1_suppressed
0.0655948176763988 Balance
0.0834448111268759 Balance
0.134876691292454 St2_suppressed
0.224152554009117 H_dominance
0.302398991602155 Balance
0.137539742361981 Balance
0.0689913947170225 Balance
0.239601316196301 Balance
0.166885494372639 Balance
0.0998415588019338 Balance
0.113088236666596 St2_suppressed
0.0682755578959264 Balance
0.134833533017569 Balance
0.13855676943044 Balance
0.291671396238987 H_suppressed
0.12792949249489 Balance
0.183720214913874 Balance
0.165801263209904 Balance
0.275612128249484 St1_dominance
0.0656360571180201 Balance
0.0139596114426728 H_suppressed
0.00614610850279261 H_dominance
0.104861835259545 Balance
0.0767862729079228 St2_suppressed
0.24953484086596 Balance
0.300860557312869 H_suppressed
0.128851800795177 St2_suppressed
0.0730294868666075 Balance
0.126447001807081 Balance
0.0914963329647697 Balance
0.108341184694464 Balance
0.140272928243478 Balance
0.234807545334472 H_suppressed
0.166641299184806 Balance
0.255339408587864 Balance
0.146059008311709 Balance
0.126117836447705 St2_suppressed
0.161294680061061 Balance
0.172157361393581 St2_suppressed
0.143180289153221 Balance
0.173536832684016 Balance
0.0914384937649347 Balance
0.0751485523346924 Balance
0.103725483956451 Balance
0.223903572204644 Balance
0.181028915264938 H_suppressed
0.0188954941454305 Balance
0.110503451204023 Balance
0.3022584108838 H_suppressed
0.29156802776925 H_suppressed
0.268517196740665 St1_dominance
0.198568407905185 Balance
0.182437296718626 H_suppressed
0.0712937253760806 Balance
0.0901559928013662 Balance
0.232634161885653 H_dominance
0.170804176239927 Balance
0.167195009354346 Balance
0.139162998390377 Balance
0.0389239274226021 Balance
0.0632935725172786 Balance
0.0985742013814974 Balance
0.199515642721166 St1_dominance
0.329937189353874 St1_dominance
0.307608420378897 St2_suppressed
0.132867797483062 Balance
0.179451423962029 Balance
0.0801702455855038 St2_suppressed
0.14684042054557 Balance
0.13833461900768 St2_suppressed
0.112423305599862 Balance
0.0159664711191923 St2_suppressed
0.153034414884365 Balance
0.16038691060682 Balance
0.0675280684308385 Balance
0.165262460613413 Balance
0.0748826249673447 Balance
0.136570445551005 Balance
0.18229972198004 Balance
0.0836912614195771 Balance
0.166229611327224 Balance
0.215466176204062 Balance
0.209223827452802 Balance
0.0454440261420575 Balance
0.179241504217076 St2_suppressed
0.0129368001453218 Balance
0.202098538124352 St2_suppressed
0.336910387242661 H_dominance
0.218707070870697 St1_suppressed
