Balance	0.33	0.33	0.33
H_dominance	1	0	0
St1_dominance	0	1	0
St2_dominance	0	0	1
H_suppressed	0	0.5	0.5
St1_suppressed	0.5	0	0.5
St2_suppressed	0.5	0.5	0
1	0.277327	0.475595	0.247078
2	0.366894	0.479952	0.153154
3	0.151556	0.521564	0.32688
4	0.195299	0.371971	0.43273
5	0.244806	0.414736	0.340458
6	0.400759	0.26502	0.334221
7	0.187846	0.4917	0.320454
8	0.226121	0.58351	0.190369
9	0.0816361	0.740548	0.177816
10	0.325507	0.267791	0.406703
11	0.0549173	0.681518	0.263564
12	0	0.526096	0.473904
13	0.299949	0.268507	0.431544
14	0.323506	0.336879	0.339616
15	0.082865	0.222902	0.694233
16	0.290978	0.310904	0.398118
17	0.291373	0.349645	0.358982
18	0.423283	0.315525	0.261193
19	0.512077	0.373896	0.114027
20	0.384521	0.296167	0.319312
21	0.323904	0.299995	0.376101
22	0.300814	0.40493	0.294256
23	0.267254	0.474039	0.258707
24	0.609622	0.390378	0
25	0.333978	0.259098	0.406924
26	0.40527	0.59473	0
27	0.299451	0.413569	0.28698
28	0.243995	0.484057	0.271947
29	0.377256	0.330473	0.292271
30	0.295151	0.415258	0.28959
31	0.279888	0.332028	0.388084
32	0.217797	0.415169	0.367033
33	0.29596	0.395417	0.308623
34	0.00579409	0.328544	0.665662
35	0.117509	0.882491	0
36	0.387794	0.361324	0.250882
37	0.330031	0.596406	0.0735631
38	0.000576224	0.777245	0.222179
39	0.522172	0.201239	0.276589
40	0.205997	0.420789	0.373214
41	0.377679	0.392651	0.22967
42	0.416629	0.25378	0.329591
43	0.283091	0.371667	0.345242
44	0.599978	0.150131	0.249891
45	0.978027	0.0156122	0.00636082
46	0.341395	0.448587	0.210018
47	0.473845	0.256188	0.269967
48	0.340394	0.306659	0.352947
49	0.0596548	0.509138	0.431208
50	0.864568	0.0835739	0.0518576
51	0.342284	0.321627	0.33609
52	0.387621	0.240306	0.372073
53	0.0097499	0.989756	0.000494152
54	0.286299	0.392081	0.32162
55	0.265356	0.402716	0.331928
56	0.350347	0.296065	0.353588
57	0.266457	0.391147	0.342396
58	0.577256	0.195575	0.227169
59	0.509301	0.48331	0.0073887
60	0.1076	0.17464	0.71776
61	0.20146	0.376444	0.422096
62	0.413323	0.246518	0.340159
63	0.336855	0.000894615	0.66225
64	0.314671	0.385948	0.299381
65	0.339244	0.389018	0.271738
66	0.463827	0.428006	0.108167
67	0.834411	0.150303	0.0152859
68	0.223921	0.579684	0.196395
69	0.429501	0.335308	0.235192
70	0.323404	0.386145	0.290452
71	0.510393	0.316743	0.172865
72	0.466184	0.24099	0.292826
73	0.407924	0.324228	0.267848
74	0.437544	0.472331	0.0901256
75	0.282127	0.377579	0.340294
76	0.294261	0.441911	0.263828
77	0.274595	0.446337	0.279069
78	0.141484	0.595158	0.263358
79	0.265405	0.435895	0.2987
80	0.34794	0.455258	0.196802
81	0.350085	0.441224	0.208691
82	0.186685	0.797834	0.0154811
83	0.379764	0.332933	0.287303
84	0.00125952	0.509181	0.48956
85	0.995654	0.00434591	0
86	0.368098	0.383589	0.248313
87	0.523355	0.437934	0.0387103
88	0.530866	0.277611	0.191523
89	0.0152631	0.704698	0.280039
90	0.414442	0.489758	0.0958004
91	0.28188	0.384836	0.333284
92	0.238911	0.416476	0.344613
93	0.265792	0.394449	0.339759
94	0.338339	0.407208	0.254454
95	0.391642	0.389453	0.218905
96	0.165624	0.500817	0.333559
97	0.277461	0.468632	0.253907
98	0.219732	0.541473	0.238795
99	0.378564	0.406193	0.215242
100	0.399516	0.569738	0.0307455
