Balance	0.33	0.33	0.33
H_dominance	1	0	0
St1_dominance	0	1	0
St2_dominance	0	0	1
H_suppressed	0	0.5	0.5
St1_suppressed	0.5	0	0.5
St2_suppressed	0.5	0.5	0
1	0.285378	0.422141	0.292481
2	0.383539	0.459397	0.157064
3	0.357171	0.449132	0.193697
4	0.21846	0.371611	0.40993
5	0.281379	0.32888	0.389742
6	0.418319	0.324946	0.256735
7	0.0951916	0.656831	0.247978
8	0.202661	0.607664	0.189674
9	0.0679397	0.866483	0.0655768
10	0.308546	0.331224	0.36023
11	0.056884	0.617547	0.325569
12	0	0.55896	0.44104
13	0.317557	0.228035	0.454408
14	0.314964	0.368773	0.316264
15	0.0797853	0.185993	0.734221
16	0.294375	0.330739	0.374885
17	0.176264	0.590093	0.233643
18	0.411647	0.374428	0.213925
19	0.358324	0.480205	0.161471
20	0.350579	0.308509	0.340912
21	0.390761	0.241106	0.368133
22	0.168294	0.472238	0.359468
23	0.487398	0.372524	0.140078
24	0.826454	0.173546	0
25	0.428606	0.337535	0.23386
26	0.360859	0.636514	0.00262679
27	0.291094	0.433847	0.275059
28	0.187445	0.591457	0.221098
29	0.374261	0.371834	0.253904
30	0.225704	0.473241	0.301055
31	0.260694	0.322224	0.417082
32	0.194849	0.439665	0.365486
33	0.292763	0.424786	0.282451
34	0.0119175	0.573594	0.414489
35	0.0259017	0.974098	0
36	0.351343	0.37844	0.270216
37	0.224747	0.695054	0.0801987
38	0.000937354	0.731478	0.267585
39	0.738023	0.112334	0.149643
40	0.248864	0.368854	0.382282
41	0.337652	0.414128	0.24822
42	0.750931	0.15176	0.0973094
43	0.265815	0.362612	0.371573
44	0.14001	0.786766	0.0732243
45	0.998408	0.00159217	0
46	0.244065	0.666675	0.0892594
47	0.458244	0.274353	0.267403
48	0.340269	0.292417	0.367315
49	0.0298179	0.43013	0.540052
50	0.902128	0.0491449	0.0487272
51	0.318891	0.323157	0.357953
52	0.407528	0.204011	0.388461
53	0	0.997005	0.00299495
54	0.295819	0.429749	0.274431
55	0.324864	0.295326	0.37981
56	0.358236	0.213333	0.42843
57	0.288221	0.378081	0.333698
58	0.624973	0.193532	0.181496
59	0.534576	0.455545	0.0098789
60	0.1169	0.186966	0.696134
61	0.204589	0.354022	0.441389
62	0.5078	0.202012	0.290189
63	0.0825327	0	0.917467
64	0.375536	0.367043	0.257421
65	0.327371	0.381863	0.290766
66	0.0615614	0.0697878	0.868651
67	0.481042	0.391755	0.127203
68	0.881845	0.114706	0.00344901
69	0.269667	0.572942	0.157391
70	0.980493	0	0.0195066
71	0.429386	0.260515	0.310099
72	0.596652	0.345435	0.057913
73	0.528778	0.238605	0.232617
74	0.144752	0.174784	0.680464
75	0.447347	0.404436	0.148217
76	0.242987	0.401131	0.355882
77	0.280728	0.348286	0.370986
78	0.252067	0.440488	0.307445
79	0.231121	0.620306	0.148573
80	0.249092	0.470234	0.280674
81	0.318455	0.465909	0.215636
82	0.35422	0.44498	0.200799
83	0.174261	0.803786	0.0219531
84	0.3252	0.347316	0.327484
85	0.00457597	0.549812	0.445612
86	0.995627	0.00437333	0
87	0.328687	0.369013	0.302299
88	0.555845	0.370323	0.0738321
89	0.515193	0.28717	0.197637
90	0.0059866	0.785863	0.20815
91	0.413285	0.495067	0.0916479
92	0.836825	0.125388	0.0377875
93	0.282119	0.385128	0.332754
94	0.28217	0.416011	0.301819
95	0.325404	0.392163	0.282432
96	0.293544	0.518513	0.187943
97	0.459511	0.365931	0.174558
98	0.217994	0.535192	0.246814
99	0.32256	0.420319	0.25712
100	0.075629	0.621885	0.302486
